Time resolution is 1 ps
in_group_idx= 360, di_en=1, do_en=1, out_group_idx= 922
in_group_idx= 361, di_en=1, do_en=1, out_group_idx=  90
in_group_idx= 362, di_en=1, do_en=1, out_group_idx= 602
in_group_idx= 363, di_en=1, do_en=1, out_group_idx= 346
in_group_idx= 364, di_en=1, do_en=1, out_group_idx= 858
in_group_idx= 365, di_en=1, do_en=1, out_group_idx= 218
in_group_idx= 366, di_en=1, do_en=1, out_group_idx= 730
in_group_idx= 367, di_en=1, do_en=1, out_group_idx= 474
in_group_idx= 368, di_en=1, do_en=1, out_group_idx= 986
in_group_idx= 369, di_en=1, do_en=1, out_group_idx=  58
in_group_idx= 370, di_en=1, do_en=1, out_group_idx= 570
in_group_idx= 371, di_en=1, do_en=1, out_group_idx= 314
in_group_idx= 372, di_en=1, do_en=1, out_group_idx= 826
in_group_idx= 373, di_en=1, do_en=1, out_group_idx= 186
in_group_idx= 374, di_en=1, do_en=1, out_group_idx= 698
in_group_idx= 375, di_en=1, do_en=1, out_group_idx= 442
in_group_idx= 376, di_en=1, do_en=1, out_group_idx= 954
in_group_idx= 377, di_en=1, do_en=1, out_group_idx= 122
in_group_idx= 378, di_en=1, do_en=1, out_group_idx= 634
in_group_idx= 379, di_en=1, do_en=1, out_group_idx= 378
in_group_idx= 380, di_en=1, do_en=1, out_group_idx= 890
in_group_idx= 381, di_en=1, do_en=1, out_group_idx= 250
in_group_idx= 382, di_en=1, do_en=1, out_group_idx= 762
in_group_idx= 383, di_en=1, do_en=1, out_group_idx= 506
in_group_idx= 384, di_en=1, do_en=1, out_group_idx=1018
in_group_idx= 385, di_en=1, do_en=1, out_group_idx=   6
in_group_idx= 386, di_en=1, do_en=1, out_group_idx= 518
in_group_idx= 387, di_en=1, do_en=1, out_group_idx= 262
in_group_idx= 388, di_en=1, do_en=1, out_group_idx= 774
in_group_idx= 389, di_en=1, do_en=1, out_group_idx= 134
in_group_idx= 390, di_en=1, do_en=1, out_group_idx= 646
in_group_idx= 391, di_en=1, do_en=1, out_group_idx= 390
in_group_idx= 392, di_en=1, do_en=1, out_group_idx= 902
in_group_idx= 393, di_en=1, do_en=1, out_group_idx=  70
in_group_idx= 394, di_en=1, do_en=1, out_group_idx= 582
in_group_idx= 395, di_en=1, do_en=1, out_group_idx= 326
in_group_idx= 396, di_en=1, do_en=1, out_group_idx= 838
in_group_idx= 397, di_en=1, do_en=1, out_group_idx= 198
in_group_idx= 398, di_en=1, do_en=1, out_group_idx= 710
in_group_idx= 399, di_en=1, do_en=1, out_group_idx= 454
in_group_idx= 400, di_en=1, do_en=1, out_group_idx= 966
in_group_idx= 401, di_en=1, do_en=1, out_group_idx=  38
in_group_idx= 402, di_en=1, do_en=1, out_group_idx= 550
in_group_idx= 403, di_en=1, do_en=1, out_group_idx= 294
in_group_idx= 404, di_en=1, do_en=1, out_group_idx= 806
in_group_idx= 405, di_en=1, do_en=1, out_group_idx= 166
in_group_idx= 406, di_en=1, do_en=1, out_group_idx= 678
in_group_idx= 407, di_en=1, do_en=1, out_group_idx= 422
in_group_idx= 408, di_en=1, do_en=1, out_group_idx= 934
in_group_idx= 409, di_en=1, do_en=1, out_group_idx= 102
in_group_idx= 410, di_en=1, do_en=1, out_group_idx= 614
in_group_idx= 411, di_en=1, do_en=1, out_group_idx= 358
in_group_idx= 412, di_en=1, do_en=1, out_group_idx= 870
in_group_idx= 413, di_en=1, do_en=1, out_group_idx= 230
in_group_idx= 414, di_en=1, do_en=1, out_group_idx= 742
in_group_idx= 415, di_en=1, do_en=1, out_group_idx= 486
in_group_idx= 416, di_en=1, do_en=1, out_group_idx= 998
in_group_idx= 417, di_en=1, do_en=1, out_group_idx=  22
in_group_idx= 418, di_en=1, do_en=1, out_group_idx= 534
in_group_idx= 419, di_en=1, do_en=1, out_group_idx= 278
in_group_idx= 420, di_en=1, do_en=1, out_group_idx= 790
in_group_idx= 421, di_en=1, do_en=1, out_group_idx= 150
in_group_idx= 422, di_en=1, do_en=1, out_group_idx= 662
in_group_idx= 423, di_en=1, do_en=1, out_group_idx= 406
in_group_idx= 424, di_en=1, do_en=1, out_group_idx= 918
in_group_idx= 425, di_en=1, do_en=1, out_group_idx=  86
in_group_idx= 426, di_en=1, do_en=1, out_group_idx= 598
in_group_idx= 427, di_en=1, do_en=1, out_group_idx= 342
in_group_idx= 428, di_en=1, do_en=1, out_group_idx= 854
in_group_idx= 429, di_en=1, do_en=1, out_group_idx= 214
in_group_idx= 430, di_en=1, do_en=1, out_group_idx= 726
in_group_idx= 431, di_en=1, do_en=1, out_group_idx= 470
in_group_idx= 432, di_en=1, do_en=1, out_group_idx= 982
